state,crop_year,season,crop,yield_kg_ha
Gujarat,2024,Rabi,Small millets,2199.081626220545
Jammu and Kashmir,2026,Kharif,Small millets,477.94992318472754
Bihar,2007,Kharif,Arhar/Tur,1382.598833441348
Assam,2016,Whole Year,Dry chillies,886.1578896135501
Odisha,2019,Rabi,Masoor,528.9079229122055
Telangana,2011,Whole Year,Sugarcane,69810.08459685334
Tripura,2003,Kharif,Rice,2395.9757613424485
Karnataka,2021,Whole Year,Turmeric,6076.370514820593
Kerala,2008,Whole Year,Turmeric,2287.562904385334
Jammu and Kashmir,2015,Rabi,Rapeseed &Mustard,613.2347709214531
Manipur,2022,Kharif,Ginger,17581.083172914725
Tripura,2007,Kharif,Urad,591.8367346938776
West Bengal,2018,Rabi,Potato,25346.806041619842
Bihar,2021,Kharif,Ragi,1227.7323674562122
Bihar,2001,Whole Year,Tobacco,1101.091495128562
Kerala,2011,Whole Year,Tobacco,1604.6511627906978
Rajasthan,2025,Kharif,Bajra,1740.2022411433966
Haryana,2013,Kharif,Sunflower,2846.153846153846
Assam,2022,Rabi,Arecanut,855.9380876033152
Gujarat,2007,Kharif,Other Kharif pulses,621.8181818181819
Bihar,2003,Whole Year,Garlic,1288.8809438684304
Haryana,2007,Rabi,Wheat,4158.200172310093
Bihar,2005,Kharif,Sunflower,1344.6484392198302
Bihar,2014,Kharif,Sannhamp,804.6989720998531
Uttar Pradesh,2014,Rabi,Garlic,5792.3274563657305
Puducherry,2021,Kharif,Cashewnut,281.3272877164056
Odisha,2002,Kharif,Ragi,460.5227316946624
Himachal Pradesh,2008,Kharif,Urad,430.1964839710445
Meghalaya,2016,Autumn,Rice,2346.935742733163
West Bengal,2005,Kharif,Small millets,769.9952673923332
Kerala,2025,Whole Year,Turmeric,3144.5194133570362
Telangana,2019,Rabi,Garlic,4695.652173913043
Jammu and Kashmir,2000,Kharif,Groundnut,500.0
Manipur,2021,Whole Year,Banana,13841.728836549726
Bihar,2023,Kharif,Other Kharif pulses,958.7736005124139
Maharashtra,2008,Kharif,Niger seed,271.05263157894734
Uttarakhand,2018,Rabi,Linseed,1000.0
Arunachal Pradesh,2006,Rabi,Wheat,1583.5637094747424
Meghalaya,2024,Kharif,Castor seed,1274.1735537190084
Rajasthan,2014,Kharif,Groundnut,1548.861005770122
West Bengal,2015,Whole Year,Tobacco,1680.8200092881311
West Bengal,2001,Rabi,Safflower,379.3103448275862
Rajasthan,2010,Rabi,Coriander,748.8196117409018
Assam,2012,Kharif,Cotton(lint),478.91231964483904
Kerala,2001,Whole Year,Turmeric,2218.9432265317596
Haryana,2024,Whole Year,Coriander,4329.620614350702
Bihar,2013,Kharif,Jute,14282.953386154095
Nagaland,2021,Kharif,Other Kharif pulses,1256.732546533861
Odisha,2004,Autumn,Urad,215.5242083608846
Tripura,2026,Rabi,Gram,735.5872267466782
Madhya Pradesh,2003,Rabi,Safflower,272.1518987341772
Tripura,2012,Rabi,Other  Rabi pulses,831.7054845980466
Haryana,2011,Rabi,Mustard,1576.8892020554656
Bihar,2025,Rabi,Sunflower,1610.012354573222
Andhra Pradesh,2019,Kharif,Arecanut,9505.474452554745
Gujarat,2005,Rabi,Gram,1005.5732484076433
Tripura,2005,Kharif,Mesta,7283.760683760684
Nagaland,2006,Kharif,Moong(Green Gram),1260.0
Punjab,2003,Rabi,Potato,20313.024734475966
Telangana,2024,Kharif,Cotton(lint),3648.1936668388053
Karnataka,2003,Kharif,Rice,2224.0657352966095
Rajasthan,2016,Rabi,Barley,2902.1479821205444
Tamil Nadu,2003,Whole Year,Sweet potato,14484.119345524543
West Bengal,2012,Rabi,Potato,29982.126552286947
Karnataka,2002,Rabi,Safflower,650.295481835519
Arunachal Pradesh,2023,Whole Year,Turmeric,5119.4157797690295
Himachal Pradesh,2000,Kharif,Maize,2293.7004281132154
Chhattisgarh,2017,Kharif,Urad,323.63903188986467
Telangana,2009,Kharif,Rice,3252.939068776832
Karnataka,2014,Kharif,Cotton(lint),2727.604444972194
Odisha,2021,Kharif,Arhar/Tur,953.5789524171443
Bihar,2016,Rabi,Lentil,925.4063070800491
Himachal Pradesh,2023,Rabi,Linseed,303.78785170355013
Kerala,2006,Whole Year,Tobacco,1612.9032258064517
Uttar Pradesh,2014,Kharif,Bajra,1899.7955289558738
Gujarat,2002,Whole Year,Garlic,5435.294117647059
Andhra Pradesh,2013,Kharif,Maize,3711.1683629809004
Maharashtra,2014,Kharif,Jowar,859.2853992059992
Manipur,2018,Kharif,Urad,1005.1020408163265
Bihar,2008,Whole Year,Dry chillies,1369.7123519458544
Maharashtra,2017,Kharif,Niger seed,158.85256014805677
Chhattisgarh,2017,Rabi,Masoor,355.3699472066819
Uttar Pradesh,2024,Rabi,Lentil,991.278180669682
West Bengal,2024,Rabi,Onion,20652.12078259136
Meghalaya,2000,Whole Year,Tapioca,5323.3576642335765
Uttarakhand,2003,Kharif,Sesamum,158.3198707592892
Goa,2014,Rabi,Other  Rabi pulses,946.6025255562237
Assam,2022,Rabi,Urad,788.1047623750967
Bihar,2007,Kharif,Groundnut,719.1383595691798
Odisha,2004,Autumn,Rice,821.6019417475728
Puducherry,2022,Kharif,Other Kharif pulses,1597.7482088024565
Tamil Nadu,2023,Whole Year,Coriander,591.2439359579516
Madhya Pradesh,2000,Kharif,Maize,1458.999709393114
Jharkhand,2017,Kharif,Niger seed,564.4345539146267
Gujarat,2003,Whole Year,Mango,5544.862305960971
Jammu and Kashmir,2026,Kharif,Horse-gram,552.5785683251485
Jammu and Kashmir,2010,Rabi,Wheat,1543.7290996139857
Himachal Pradesh,2014,Kharif,Moth,285.7142857142857
Mizoram,2009,Kharif,Other Kharif pulses,1342.7035965274906
Uttarakhand,2015,Rabi,Masoor,749.078960469979
Uttar Pradesh,2009,Rabi,Tobacco,5715.06058352653
West Bengal,2012,Rabi,Barley,1481.3573523250943
Karnataka,2012,Kharif,Rapeseed &Mustard,295.32030895047706
Haryana,2013,Kharif,Arhar/Tur,1117.0212765957447
Andhra Pradesh,2008,Whole Year,Sugarcane,78434.26674688721
Jharkhand,2001,Rabi,Potato,19759.199444075166
Madhya Pradesh,2000,Whole Year,Sugarcane,22170.125647304405
Karnataka,2011,Whole Year,Sweet potato,14571.8954248366
Goa,2005,Whole Year,Cashewnut,491.99396594027735
Assam,2023,Kharif,Jute,11758.16072625967
Tripura,2016,Kharif,Other Kharif pulses,956.5217391304348
Chhattisgarh,2003,Kharif,Cotton(lint),1978.2608695652175
Manipur,2024,Rabi,Other  Rabi pulses,1133.9127468632196
Chhattisgarh,2007,Kharif,Potato,4219.895287958115
Bihar,2000,Kharif,Sesamum,557.3862049706786
Madhya Pradesh,2018,Whole Year,Sugarcane,48905.210283405315
Tamil Nadu,2009,Whole Year,Castor seed,310.6617647058824
Puducherry,2001,Whole Year,Black pepper,916.6666666666666
Telangana,2021,Kharif,Arhar/Tur,963.3524076085761
Uttarakhand,2022,Kharif,Maize,1903.6833472352776
Jammu and Kashmir,2015,Kharif,Small millets,483.86123680241326
Tripura,2010,Rabi,Other  Rabi pulses,811.9180633147114
Mizoram,2013,Kharif,Arhar/Tur,890.9090909090909
Nagaland,2019,Kharif,Ragi,971.4285714285714
Punjab,2015,Rabi,Rapeseed &Mustard,1348.3870967741937
Himachal Pradesh,2026,Kharif,Maize,2941.443567062655
Andhra Pradesh,2011,Kharif,Arhar/Tur,302.2602824151741
Sikkim,2013,Rabi,Barley,1020.6896551724138
Tamil Nadu,2007,Whole Year,Cotton(lint),2020.1640912065234
Jharkhand,2019,Rabi,Safflower,495.29780564263325
West Bengal,2014,Rabi,Potato,33866.617049572356
Bihar,2014,Kharif,Ragi,1473.9442946990116
Maharashtra,2020,Rabi,Gram,1268.5941350615335
Chhattisgarh,2008,Kharif,Potato,3866.6666666666665
Puducherry,2007,Kharif,Dry chillies,1000.0
Telangana,2005,Kharif,Rice,2876.3510017327044
Karnataka,2006,Whole Year,Ginger,13089.171245421245
Uttar Pradesh,2022,Kharif,Arhar/Tur,860.6278497267176
Maharashtra,2001,Rabi,Rapeseed &Mustard,252.45901639344262
Telangana,2000,Kharif,Soyabean,1238.425401106438
Uttarakhand,2020,Kharif,Sunflower,666.6666666666666
Jharkhand,2016,Rabi,Rapeseed &Mustard,935.1882058691025
West Bengal,2017,Kharif,Sannhamp,4883.221476510067
Maharashtra,2012,Whole Year,Sugarcane,80305.93753331201
Chhattisgarh,2025,Kharif,Small millets,489.20301325062303
Maharashtra,2003,Rabi,Safflower,356.7633837351859
Andhra Pradesh,2025,Kharif,Sannhamp,10.000348554607417
Gujarat,2024,Rabi,Gram,1661.7760073386507
Haryana,2014,Kharif,Maize,2000.0
Uttarakhand,2009,Kharif,Ragi,1230.8500197999347
Meghalaya,2004,Whole Year,Sugarcane,2678.5714285714284
Karnataka,2019,Kharif,Cowpea(Lobia),283.7245798731446
Delhi,2025,Kharif,Cotton(lint),1019.2307692307692
Jharkhand,2019,Kharif,Groundnut,1103.2658693652254
Kerala,2010,Whole Year,Banana,8243.695281871122
Maharashtra,2015,Kharif,Turmeric,5693.1519869928325
Puducherry,2004,Whole Year,Black pepper,583.3333333333334
Meghalaya,2009,Whole Year,Sugarcane,2710.5263157894738
Punjab,2010,Rabi,Rapeseed &Mustard,1322.5806451612902
Chhattisgarh,2011,Whole Year,Garlic,2947.6744186046512
Nagaland,2016,Kharif,Cowpea(Lobia),1452.8301886792453
Gujarat,2020,Rabi,Tobacco,2014.8548244083677
Goa,2013,Whole Year,Banana,11320.13769363167
Jammu and Kashmir,2013,Rabi,Barley,583.6206171697637
Kerala,2004,Kharif,Ragi,809.1106290672451
Manipur,2021,Rabi,Gram,1059.2955165169192
Assam,2016,Rabi,Moong(Green Gram),693.3047370384185
Tamil Nadu,2014,Kharif,Groundnut,2336.348289226526
Nagaland,2024,Kharif,Sunflower,376.0099055873704
Madhya Pradesh,2026,Rabi,Mustard,1750.4395441650458
Uttar Pradesh,2002,Kharif,Sunflower,1436.0995850622407
Bihar,2014,Kharif,Groundnut,1022.6480836236934
Andhra Pradesh,2019,Rabi,Niger seed,331.062030075188
Gujarat,2004,Kharif,Rice,1738.7319711538462
Arunachal Pradesh,2006,Kharif,Rice,1175.5311367219883
Nagaland,2005,Rabi,Masoor,1964.2857142857142
Karnataka,2010,Kharif,Jowar,1537.0545207890298
Bihar,2004,Kharif,Bajra,1080.8333333333333
Puducherry,2019,Kharif,Onion,5000.0
Jharkhand,2026,Rabi,Potato,7705.020170435063
Gujarat,2021,Rabi,Onion,26994.8534756775
Sikkim,2024,Kharif,Urad,859.5134606463356
Manipur,2024,Kharif,Rice,2141.8015714175963
Mizoram,2006,Kharif,Potato,2585.2895148669795
Andhra Pradesh,2013,Kharif,Dry chillies,4618.92954553505
Chhattisgarh,2024,Rabi,Wheat,1819.3395363088025
Jammu and Kashmir,2017,Kharif,Jowar,603.1746031746031
Telangana,2009,Kharif,Soyabean,1248.0826810745875
Arunachal Pradesh,2017,Kharif,Moong(Green Gram),1024.4479495268138
Meghalaya,2025,Rabi,Gram,1350.4606133915347
Andhra Pradesh,2022,Kharif,Bajra,2361.081438589592
Maharashtra,2002,Kharif,Soyabean,1255.2767821585026
Manipur,2025,Kharif,Cowpea(Lobia),1222.3668947231363
Mizoram,2021,Kharif,Rice,1969.442029269501
West Bengal,2017,Kharif,Urad,671.8629715165512
Madhya Pradesh,2007,Whole Year,Sesamum,376.0010354144084
West Bengal,2015,Rabi,Moth,875.0
Kerala,2023,Autumn,Rice,2935.545110049943
Meghalaya,2017,Rabi,Wheat,1928.2608695652175
West Bengal,2012,Whole Year,Tobacco,1772.3034881851793
Sikkim,2006,Kharif,Small millets,942.0289855072464
Meghalaya,2009,Whole Year,Black pepper,517.9775280898876
Punjab,2018,Rabi,Potato,25421.09432770642
Karnataka,2024,Kharif,Sunflower,974.9844175439013
Haryana,2012,Kharif,Moong(Green Gram),483.6350974930362
West Bengal,2007,Whole Year,Mango,5454.175506991647
Kerala,2025,Whole Year,Cardamom,121.62968607565391
West Bengal,2010,Autumn,Groundnut,869.1380080393033
Nagaland,2016,Rabi,Barley,1037.037037037037
Kerala,2004,Whole Year,Turmeric,2167.303019784797
Bihar,2018,Kharif,Bajra,1133.8050820199421
Nagaland,2000,Rabi,Other  Rabi pulses,876.9230769230769
Mizoram,2013,Whole Year,Sugarcane,4911.330049261083
Himachal Pradesh,2005,Kharif,Urad,372.0599982249046
Jammu and Kashmir,2003,Rabi,Rapeseed &Mustard,695.165177938466
Bihar,2024,Kharif,Arhar/Tur,1834.076006425986
Jharkhand,2007,Autumn,Ragi,914.9554895365387
Madhya Pradesh,2005,Rabi,Rapeseed &Mustard,1032.0004821891387
Madhya Pradesh,2006,Kharif,Castor seed,377.3209549071618
Andhra Pradesh,2025,Kharif,Niger seed,431.16628086843
Odisha,2023,Autumn,Moong(Green Gram),460.08357968424696
Karnataka,2010,Whole Year,Black pepper,603.8174825506861
West Bengal,2012,Kharif,Bajra,416.6666666666667
Himachal Pradesh,2005,Kharif,Turmeric,605.4421768707483
Himachal Pradesh,2024,Kharif,Bajra,715.6168676721605
Andhra Pradesh,2023,Kharif,other oilseeds,18062.54707837447
Jammu and Kashmir,2022,Kharif,Jowar,738.3221546688975
Tamil Nadu,2025,Whole Year,Turmeric,4002.776240423282
Jammu and Kashmir,2008,Rabi,Garlic,854.3046357615895
West Bengal,2021,Rabi,Horse-gram,686.5778486492974
Jharkhand,2009,Rabi,Potato,6951.9235986759995
Delhi,2003,Kharif,Rice,2734.6159719041075
Andhra Pradesh,2006,Rabi,Other  Rabi pulses,392.84748512709575
Telangana,2003,Whole Year,Sugarcane,63144.609019073185
West Bengal,2008,Autumn,Rice,2068.6627183323985
Uttar Pradesh,2008,Rabi,Barley,2188.0938665549484
Andhra Pradesh,2025,Kharif,Ragi,1439.1248735859313
West Bengal,2008,Autumn,Ragi,1182.5775656324583
Puducherry,2018,Kharif,Groundnut,3000.0
Andhra Pradesh,2001,Kharif,Niger seed,419.95809324253537
Bihar,2019,Kharif,Arhar/Tur,1680.6135848155664
Maharashtra,2026,Rabi,Other  Rabi pulses,518.1571614776426
Haryana,2006,Whole Year,Garlic,18072.289156626506
West Bengal,2009,Rabi,Gram,1109.5286226224387
Tripura,2021,Kharif,Moong(Green Gram),563.9675527405805
Haryana,2022,Kharif,Moth,455.72419218814724
Maharashtra,2003,Whole Year,Banana,62993.414211438474
Odisha,2016,Autumn,Urad,398.3655328147962
West Bengal,2016,Rabi,Potato,34896.19532437453
Haryana,2023,Rabi,Mustard,1670.4329850450981
Nagaland,2001,Rabi,Linseed,649.1228070175439
Odisha,2008,Autumn,Maize,1986.5655202370426
Uttar Pradesh,2015,Rabi,Potato,23037.460006529545
Nagaland,2002,Whole Year,Potato,11192.660550458715
Mizoram,2009,Rabi,Other  Rabi pulses,2152.5649566955362
Kerala,2008,Whole Year,Arecanut,1288.864727362245
Madhya Pradesh,2023,Kharif,Horse-gram,310.7218766078463
Punjab,2026,Rabi,Rapeseed &Mustard,1863.8007840391022
Jammu and Kashmir,2007,Rabi,Other  Rabi pulses,461.53846153846155
Uttarakhand,2026,Rabi,Masoor,1013.0104369536315
Bihar,2012,Autumn,Rice,1776.3959409648721
Bihar,2020,Kharif,Jute,2419.4961767351347
Tamil Nadu,2006,Whole Year,Horse-gram,585.045385099308
Gujarat,2023,Kharif,Cotton(lint),4073.619892617073
Nagaland,2024,Kharif,Ragi,938.420211499881
Bihar,2003,Kharif,Bajra,1044.642857142857
Nagaland,2025,Kharif,Sunflower,448.5515174813457
Gujarat,2022,Rabi,Onion,29853.119514240152
Tripura,2007,Kharif,Arhar/Tur,722.3587223587224
Tamil Nadu,2007,Whole Year,Dry chillies,505.63731307856636
Chhattisgarh,2013,Rabi,Garlic,5853.658536585366
Odisha,2024,Rabi,Masoor,627.4545155875012
Assam,2008,Rabi,Mustard,1194.6481133373188
Uttarakhand,2014,Whole Year,Sugarcane,60642.713203688814
Goa,2008,Whole Year,Sugarcane,48239.960822722824
Nagaland,2003,Kharif,Soyabean,1384.6153846153845
Gujarat,2022,Rabi,Wheat,3080.491447926594
Andhra Pradesh,2006,Kharif,Niger seed,366.6735409362755
Meghalaya,2011,Whole Year,Arecanut,1408.0139823925426
Punjab,2016,Rabi,Wheat,5046.065808297568
Andhra Pradesh,2000,Kharif,Sesamum,204.17846483508075
Himachal Pradesh,2006,Kharif,Arhar/Tur,340.0
Kerala,2026,Kharif,Cotton(lint),1483.9975180640902
Tamil Nadu,2007,Whole Year,Sesamum,432.9488006883941
Tamil Nadu,2014,Rabi,Rapeseed &Mustard,238.41059602649005
Mizoram,2013,Whole Year,Tobacco,1750.0
Nagaland,2014,Kharif,Sesamum,602.2408963585434
Uttarakhand,2014,Kharif,other oilseeds,679.1044776119403
Tripura,2024,Rabi,Wheat,2244.7962088427425
Uttarakhand,2018,Kharif,Potato,9917.216642754664
Assam,2016,Kharif,Jute,10682.792121373437
Goa,2015,Whole Year,Arecanut,1660.1233875490746
Gujarat,2015,Kharif,Urad,597.7982551632143
West Bengal,2004,Whole Year,Potato,22169.822680875488
Odisha,2005,Kharif,Arhar/Tur,865.2670506981488
Gujarat,2024,Kharif,Ragi,892.3769150485124
Uttarakhand,2006,Kharif,Moth,300.0
Goa,2009,Kharif,Ragi,1019.4805194805194
Uttarakhand,2024,Rabi,Masoor,805.3770277630175
Uttarakhand,2001,Rabi,Wheat,1919.3652634406744
Puducherry,2012,Kharif,Dry chillies,2000.0
Haryana,2023,Kharif,Bajra,2665.7077617249797
Nagaland,2017,Kharif,Tapioca,20260.0
Tripura,2026,Kharif,Cowpea(Lobia),889.4180832467763
Uttarakhand,2005,Kharif,Sesamum,252.77264325323475
Madhya Pradesh,2015,Rabi,Safflower,613.0
Haryana,2025,Kharif,Cotton(lint),3851.1184729561232
Assam,2026,Rabi,Linseed,735.3600151277695
Maharashtra,2025,Kharif,Castor seed,295.4754433959978
Nagaland,2013,Kharif,Bajra,1014.4927536231884
Gujarat,2002,Kharif,Rice,1155.0106609808101
Sikkim,2026,Rabi,Other Cereals,1072.7293869877835
Punjab,2015,Kharif,Moong(Green Gram),670.3125
Sikkim,2001,Kharif,Soyabean,798.5542168674699
Sikkim,2004,Rabi,Other Cereals,776.1194029850747
Nagaland,2009,Kharif,Groundnut,785.7142857142857
Uttarakhand,2001,Rabi,Barley,1118.688524590164
Madhya Pradesh,2015,Whole Year,Coriander,1409.267608940322
Punjab,2026,Kharif,Moong(Green Gram),987.2661549550779
West Bengal,2023,Whole Year,Turmeric,3241.675345019209
Gujarat,2006,Rabi,Gram,950.253807106599
Kerala,2017,Whole Year,Sweet potato,14498.305084745763
Uttar Pradesh,2015,Kharif,Sweet potato,12054.019475442463
Uttarakhand,2012,Kharif,Moth,400.0
Telangana,2026,Rabi,Linseed,72.11681732392967
Odisha,2004,Kharif,Castor seed,510.0296842673383
Uttar Pradesh,2014,Rabi,Lentil,865.6456142604065
Uttar Pradesh,2021,Kharif,Cotton(lint),500.6321167723833
Arunachal Pradesh,2008,Whole Year,Turmeric,3880.718954248366
Andhra Pradesh,2024,Rabi,Gram,999.5887383208199
Nagaland,2022,Rabi,Linseed,830.6772995316477
Telangana,2023,Kharif,Banana,98268.52245791041
Gujarat,2000,Kharif,Moong(Green Gram),255.51839464882943
Bihar,2018,Kharif,Sesamum,852.9956763434219
Maharashtra,2002,Kharif,Maize,2090.637450199203
Delhi,2012,Kharif,Bajra,2511.5207373271887
Bihar,2003,Whole Year,Banana,16548.62766202814
Kerala,2024,Whole Year,Arhar/Tur,1718.581917840341
Assam,2017,Rabi,Gram,687.1975362956446
West Bengal,2013,Kharif,Castor seed,592.1052631578947
Maharashtra,2025,Rabi,Rapeseed &Mustard,461.6205879138892
Madhya Pradesh,2013,Rabi,Safflower,523.8095238095239
Tripura,2011,Kharif,Cotton(lint),1420.4425711275026
Uttar Pradesh,2013,Rabi,Peas & beans (Pulses),991.9749785094068
Arunachal Pradesh,2003,Kharif,Rice,1296.8331865274108
Himachal Pradesh,2008,Kharif,Maize,2272.768190032178
Uttarakhand,2008,Whole Year,Sugarcane,52669.14101958168
Andhra Pradesh,2001,Kharif,Small millets,589.3737803796346
Uttarakhand,2000,Rabi,Gram,687.8147029204431
Nagaland,2019,Rabi,Potato,10007.957559681698
Puducherry,2025,Kharif,Bajra,2487.193610575599
West Bengal,2018,Kharif,Mesta,12181.471491024091
Himachal Pradesh,2023,Kharif,Horse-gram,490.4214764239466
Karnataka,2005,Kharif,Urad,195.5881039564169
Uttarakhand,2016,Kharif,Soyabean,1190.796955646925
Haryana,2017,Rabi,Wheat,4846.9077257459
Karnataka,2013,Kharif,Rapeseed &Mustard,284.81481481481484
Bihar,2016,Rabi,Peas & beans (Pulses),1020.4255838058655
Telangana,2022,Kharif,Maize,5811.086543607999
Tamil Nadu,2014,Whole Year,Coriander,871.9393282773565
Himachal Pradesh,2022,Rabi,Garlic,919.2991644249768
Bihar,2014,Whole Year,Tobacco,1762.3902577173606
Uttar Pradesh,2006,Whole Year,Coriander,520.2175883952856
Haryana,2008,Whole Year,Sweet potato,18072.289156626506
Karnataka,2016,Rabi,Safflower,674.2013824023912
Assam,2021,Kharif,Jute,10887.277651307986
Madhya Pradesh,2004,Kharif,Arhar/Tur,774.9998409780486
Tripura,2014,Whole Year,Sugarcane,52345.52332912989
Punjab,2024,Kharif,Rice,4612.298745743203
Jammu and Kashmir,2017,Kharif,Gram,217.3913043478261
Kerala,2000,Whole Year,Banana,7278.346168357043
Andhra Pradesh,2013,Kharif,Tobacco,7385.898068044287
Himachal Pradesh,2009,Rabi,Coriander,550.0
Kerala,2000,Whole Year,Ginger,3677.144333448157
Uttar Pradesh,2015,Kharif,Urad,290.97932854162974
Himachal Pradesh,2008,Rabi,Rapeseed &Mustard,267.1394799054373
Odisha,2001,Kharif,Rice,1604.4444444444443
Madhya Pradesh,2021,Kharif,Other Cereals,336.1926869076881
Karnataka,2015,Kharif,Ragi,1683.7239848721606
Uttar Pradesh,2026,Kharif,Small millets,978.7213116416306
Odisha,2026,Whole Year,Coriander,683.0291862462042
Himachal Pradesh,2015,Rabi,Rapeseed &Mustard,529.0655777083833
Bihar,2016,Rabi,Potato,13631.60449089203
Uttar Pradesh,2021,Kharif,Sweet potato,11518.814122315951
Assam,2024,Kharif,Sesamum,607.9551916728209
Goa,2006,Whole Year,Black pepper,260.8024691358025
Telangana,2018,Kharif,Arhar/Tur,646.4042630167742
Karnataka,2010,Whole Year,Garlic,1291.2139820500709
Himachal Pradesh,2022,Rabi,Barley,1704.8447026703493
Meghalaya,2024,Rabi,Tobacco,1204.0097799511002
Punjab,2025,Rabi,Rapeseed &Mustard,1855.6890888160765
Rajasthan,2003,Kharif,Groundnut,1249.7743597844694
Jharkhand,2013,Rabi,Masoor,828.2666163141994
Uttar Pradesh,2015,Rabi,Wheat,2786.398382222698
Jammu and Kashmir,2000,Kharif,other oilseeds,500.0
Rajasthan,2001,Rabi,Barley,2301.2155648777252
Bihar,2022,Rabi,Other  Rabi pulses,1050.5719064675272
Meghalaya,2026,Whole Year,Arecanut,1653.7521516266772
Jammu and Kashmir,2025,Kharif,Jowar,694.428817128253
Madhya Pradesh,2022,Rabi,Other  Rabi pulses,892.117553487492
Telangana,2016,Kharif,Groundnut,1934.3555522231386
Kerala,2009,Whole Year,Cardamom,187.53155579063784
Uttar Pradesh,2011,Kharif,Sannhamp,274.02957486136785
Haryana,2005,Rabi,Mustard,1212.540581414533
Tamil Nadu,2009,Whole Year,Ragi,1954.6851278314205
Andhra Pradesh,2022,Whole Year,Tapioca,14700.732582598315
Haryana,2019,Kharif,Groundnut,1133.5779816513761
Karnataka,2003,Whole Year,Potato,6457.758685658301
Himachal Pradesh,2022,Rabi,Peas & beans (Pulses),1625.0400754135544
Kerala,2026,Whole Year,Urad,10.008097165991902
Tamil Nadu,2002,Whole Year,Turmeric,3730.835934790149
Tripura,2026,Kharif,Jute,9554.102457309455
Haryana,2003,Kharif,Cotton(lint),2674.711712842038
Meghalaya,2008,Kharif,Mesta,4560.823754789272
Haryana,2022,Rabi,Peas & beans (Pulses),7431.132020958726
Puducherry,2023,Kharif,Tapioca,27209.766454352444
Bihar,2018,Kharif,Moong(Green Gram),580.5570726379028
Maharashtra,2016,Whole Year,Tobacco,1375.0
Arunachal Pradesh,2005,Kharif,Maize,1383.3655890856091
Chhattisgarh,2013,Rabi,Onion,20333.333333333332
Punjab,2014,Whole Year,Sugarcane,74882.97872340426
Himachal Pradesh,2012,Kharif,Bajra,507.59753593429156
Punjab,2024,Kharif,Cotton(lint),4730.192584246496
Uttar Pradesh,2018,Rabi,Mustard,1583.9469945359717
Madhya Pradesh,2004,Rabi,Masoor,495.7562625615195
Odisha,2004,Kharif,Ginger,1937.47607502871
Odisha,2001,Kharif,Castor seed,497.116493656286
Telangana,2017,Kharif,Ragi,1147.332768839966
Nagaland,2018,Kharif,Maize,1981.9494584837546
Kerala,2021,Whole Year,Moong(Green Gram),10.03606711619884
Puducherry,2021,Kharif,Small millets,1391.304347826087
Karnataka,2025,Whole Year,Sweet potato,19183.225310634058
Chhattisgarh,2021,Kharif,Potato,7034.5191480297
Gujarat,2016,Kharif,Maize,1677.3995811798532
Tamil Nadu,2008,Whole Year,Gram,635.5808523058961
Chhattisgarh,2012,Whole Year,Coriander,284.2176410949645
Karnataka,2018,Whole Year,Sweet potato,14517.090620031797
Kerala,2003,Kharif,Groundnut,739.8585783401563
Maharashtra,2007,Kharif,Urad,567.9318907413976
Bihar,2002,Rabi,Lentil,819.6986616927636
Jharkhand,2023,Rabi,Masoor,1001.7607005406753
Puducherry,2018,Kharif,Black pepper,1363.6363636363637
Andhra Pradesh,2005,Kharif,Groundnut,564.8343808138886
Odisha,2004,Rabi,Safflower,605.3215077605322
Nagaland,2003,Rabi,Gram,1333.3333333333333
Uttar Pradesh,2008,Kharif,Sweet potato,12281.99825859817
Uttar Pradesh,2002,Rabi,Masoor,764.3818349666241
Chhattisgarh,2008,Kharif,Cotton(lint),1280.0
Uttar Pradesh,2008,Kharif,Small millets,617.3330388042118
Punjab,2026,Kharif,Maize,4246.674781218939
Uttar Pradesh,2013,Kharif,Moong(Green Gram),320.74589653023065
Nagaland,2024,Kharif,Moong(Green Gram),1094.7208806020444
Maharashtra,2017,Kharif,Sunflower,483.5424622658665
Delhi,2024,Kharif,Arhar/Tur,2232.513491075135
Goa,2019,Whole Year,Sugarcane,66224.41430332922
Manipur,2022,Whole Year,Sugarcane,74966.33405949325
West Bengal,2009,Rabi,Masoor,911.5052806684978
Chhattisgarh,2016,Rabi,Rapeseed &Mustard,429.49345263059786
Madhya Pradesh,2013,Whole Year,Sunflower,460.5263157894737
Chhattisgarh,2011,Kharif,Groundnut,1320.0125536143948
Manipur,2010,Kharif,Moong(Green Gram),1023.0769230769231
Gujarat,2005,Kharif,Jowar,1380.2992518703243
Karnataka,2001,Whole Year,Sannhamp,248.1409001956947
Jharkhand,2018,Rabi,Safflower,585.8064516129032
Nagaland,2011,Rabi,Potato,9029.185867895545
Bihar,2008,Kharif,Potato,7499.138131070375
Haryana,2014,Whole Year,Turmeric,10187.458962573868
Karnataka,2005,Rabi,Rapeseed &Mustard,267.1019439085918
Manipur,2015,Whole Year,Cashewnut,558.8235294117648
Meghalaya,2002,Rabi,Rapeseed &Mustard,648.4309913912801
Jammu and Kashmir,2011,Rabi,other oilseeds,1384.7826086956522
Andhra Pradesh,2001,Rabi,Other  Rabi pulses,364.5090909090909
Gujarat,2014,Kharif,Arhar/Tur,1088.6122016349518
Sikkim,2021,Kharif,Rice,1761.5628880838551
Tripura,2024,Kharif,Jowar,826.309554881844
Odisha,2011,Winter,Niger seed,149.7927396055772
